n_train,hidden,noise,lr,seed,n_params,params_per_patch,step_budget,batch_size,step_of_best,best_at_boundary,best_train_mse_noisy,best_train_mse_clean,best_val_mse_noisy,best_val_mse_clean,best_test_mse_noisy,best_test_mse_clean,gen_gap_clean,train_vs_noise_floor,noise_floor,final_val_mse_clean,valid_time_mtu,valid_time_lyap,stable,wall_s
2000,128,0.0,0.003,1,166913,2.0864,6000,256,2871,1,4.31e-06,4.31e-06,5.09e-06,5.09e-06,4.9e-06,4.9e-06,7.8e-07,nan,0.0,5.47e-06,1.8,3.0078,1,6.94
5000,128,0.0,0.001,1,166913,0.8346,6000,256,2871,1,5.54e-06,5.54e-06,5.89e-06,5.89e-06,5.84e-06,5.84e-06,3.6e-07,nan,0.0,6.85e-06,1.9,3.1749,1,7.06
5000,128,0.0,0.003,1,166913,0.8346,6000,256,3327,1,3.05e-06,3.05e-06,3.53e-06,3.53e-06,3.31e-06,3.31e-06,4.9e-07,nan,0.0,1.381e-05,1.9,3.1749,1,7.05
10000,128,0.0,0.001,1,166913,0.4173,6000,256,3327,1,3.8e-06,3.8e-06,3.97e-06,3.97e-06,3.85e-06,3.85e-06,1.7e-07,nan,0.0,4.88e-06,1.9,3.1749,1,7.1
10000,128,0.0,0.003,1,166913,0.4173,6000,256,2477,1,3.66e-06,3.66e-06,3.9e-06,3.9e-06,3.7e-06,3.7e-06,2.3e-07,nan,0.0,5.22e-06,1.85,3.09135,1,7.05
20000,128,0.0,0.001,1,166913,0.2086,6000,256,3855,1,3.45e-06,3.45e-06,3.52e-06,3.52e-06,3.43e-06,3.43e-06,7e-08,nan,0.0,1.271e-05,1.95,3.25845,1,7.03
20000,128,0.0,0.003,1,166913,0.2086,6000,256,4468,1,3.31e-06,3.31e-06,3.41e-06,3.41e-06,3.31e-06,3.31e-06,1e-07,nan,0.0,3.63e-06,2.0,3.342,1,7.03
500,512,0.0,0.001,1,2633729,131.6865,6000,256,3855,1,2.66e-06,2.66e-06,6.98e-06,6.98e-06,6.51e-06,6.51e-06,4.31e-06,nan,0.0,2.585e-05,1.85,3.09135,1,14.76
500,512,0.0,0.003,1,2633729,131.6865,6000,256,5177,1,1.153e-05,1.153e-05,5.231e-05,5.231e-05,4.888e-05,4.888e-05,4.078e-05,nan,0.0,8.028e-05,1.5,2.5065,1,12.82
1000,512,0.0,0.001,1,2633729,65.8432,6000,256,5177,1,1.51e-06,1.51e-06,2.98e-06,2.98e-06,2.76e-06,2.76e-06,1.48e-06,nan,0.0,1.78e-05,2.05,3.42555,1,12.23
1000,512,0.0,0.003,1,2633729,65.8432,6000,256,6000,1,2.165e-05,2.165e-05,3.372e-05,3.372e-05,3.233e-05,3.233e-05,1.207e-05,nan,0.0,3.372e-05,1.65,2.75715,1,12.22
2000,512,0.0,0.001,1,2633729,32.9216,6000,256,5177,1,2.69e-06,2.69e-06,3.49e-06,3.49e-06,3.32e-06,3.32e-06,7.9e-07,nan,0.0,4.18e-06,2.0,3.342,1,12.16
2000,512,0.0,0.003,1,2633729,32.9216,6000,256,6000,1,1.978e-05,1.978e-05,2.589e-05,2.589e-05,2.507e-05,2.507e-05,6.11e-06,nan,0.0,2.589e-05,1.8,3.0078,1,12.21
5000,512,0.0,0.001,1,2633729,13.1686,6000,256,6000,1,4.34e-06,4.34e-06,4.7e-06,4.7e-06,4.53e-06,4.53e-06,3.5e-07,nan,0.0,4.7e-06,1.95,3.25845,1,12.23
5000,512,0.0,0.003,1,2633729,13.1686,6000,256,5177,1,2.164e-05,2.164e-05,2.468e-05,2.468e-05,2.395e-05,2.395e-05,3.04e-06,nan,0.0,5.257e-05,1.55,2.59005,1,12.26
10000,512,0.0,0.001,1,2633729,6.5843,6000,256,5177,1,2.41e-06,2.41e-06,2.6e-06,2.6e-06,2.44e-06,2.44e-06,1.9e-07,nan,0.0,1.517e-05,2.1,3.5091,1,12.22
10000,512,0.0,0.003,1,2633729,6.5843,6000,256,6000,1,1.297e-05,1.297e-05,1.431e-05,1.431e-05,1.378e-05,1.378e-05,1.34e-06,nan,0.0,1.431e-05,1.75,2.92425,1,12.24
20000,512,0.0,0.001,1,2633729,3.2922,6000,256,4468,1,2.22e-06,2.22e-06,2.28e-06,2.28e-06,2.18e-06,2.18e-06,5e-08,nan,0.0,2.353e-05,2.05,3.42555,1,12.21
20000,512,0.0,0.003,1,2633729,3.2922,6000,256,6000,1,1.08e-05,1.08e-05,1.174e-05,1.174e-05,1.113e-05,1.113e-05,9.4e-07,nan,0.0,1.174e-05,1.8,3.0078,1,12.22
500,64,0.0,0.001,2,42497,2.1248,6000,256,6000,1,2.4e-06,2.4e-06,3.89e-06,3.89e-06,4.56e-06,4.56e-06,1.49e-06,nan,0.0,3.89e-06,1.75,2.92425,1,10.23
500,64,0.0,0.003,2,42497,2.1248,6000,256,3855,1,2.55e-06,2.55e-06,4.37e-06,4.37e-06,5.38e-06,5.38e-06,1.82e-06,nan,0.0,6.88e-06,1.8,3.0078,1,8.63
1000,64,0.0,0.001,2,42497,1.0624,6000,256,6000,1,3.23e-06,3.23e-06,3.95e-06,3.95e-06,4.72e-06,4.72e-06,7.2e-07,nan,0.0,3.95e-06,1.8,3.0078,1,8.27
1000,64,0.0,0.003,2,42497,1.0624,6000,256,3327,1,3.42e-06,3.42e-06,4.31e-06,4.31e-06,5.35e-06,5.35e-06,9e-07,nan,0.0,7.52e-06,1.75,2.92425,1,8.24
2000,64,0.0,0.001,2,42497,0.5312,6000,256,6000,1,2.68e-06,2.68e-06,3.07e-06,3.07e-06,3.64e-06,3.64e-06,3.9e-07,nan,0.0,3.07e-06,1.9,3.1749,1,8.2
2000,64,0.0,0.003,2,42497,0.5312,6000,256,4468,1,3.8e-06,3.8e-06,4.14e-06,4.14e-06,4.83e-06,4.83e-06,3.3e-07,nan,0.0,7.81e-06,1.7,2.8407,1,8.11
